concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
liver_disease,Liver disease,ICD10CM,B18,B18,prefix,Chronic viral hepatitis,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K70,K70,prefix,Alcoholic liver disease,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K71,K71,prefix,Toxic liver disease,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K72,K72,prefix,Hepatic failure,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K73,K73,prefix,Chronic hepatitis,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K74,K74,prefix,Fibrosis and cirrhosis of liver,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K75,K75,prefix,Other inflammatory liver diseases,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K76,K76,prefix,Other diseases of liver,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,K77,K77,prefix,Liver disorders in diseases classified elsewhere,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
liver_disease,Liver disease,ICD10CM,Z944,Z944,exact,Liver transplant status,Baseline comorbidity; refine alcohol/non-alcohol etiologies if needed.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
