NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00003421411,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858044,SBD,saxagliptin 2.5 MG Oral Tablet [Onglyza],direct,858044,200910,201711,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421421,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858044,SBD,saxagliptin 2.5 MG Oral Tablet [Onglyza],direct,858044,200910,201801,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421498,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858044,SBD,saxagliptin 2.5 MG Oral Tablet [Onglyza],direct,858044,201209,201705,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421511,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858040,SBD,saxagliptin 5 MG Oral Tablet [Onglyza],direct,858040,200910,201712,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421521,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858040,SBD,saxagliptin 5 MG Oral Tablet [Onglyza],direct,858040,200910,201712,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421531,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858040,SBD,saxagliptin 5 MG Oral Tablet [Onglyza],direct,858040,200910,201712,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421541,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858040,SBD,saxagliptin 5 MG Oral Tablet [Onglyza],direct,858040,200910,201707,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421591,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858040,SBD,saxagliptin 5 MG Oral Tablet [Onglyza],direct,858040,200910,201705,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421592,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858040,SBD,saxagliptin 5 MG Oral Tablet [Onglyza],direct,858040,200910,201212,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003421598,dpp4_ndc,DPP-4 inhibitor,saxagliptin,857974,858040,SBD,saxagliptin 5 MG Oral Tablet [Onglyza],direct,858040,201209,201705,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
