NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00002015201,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,tirzepatide,2601723,2679323,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound],direct,2679323,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002015204,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,tirzepatide,2601723,2679323,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound],direct,2679323,202409,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002015261,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,tirzepatide,2601723,2679323,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound],direct,2679323,202505,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002021007,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,exenatide,60548,847917,SBD,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],direct,847917,200905,201011,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002021008,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,exenatide,60548,847913,SBD,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],direct,847913,200905,201011,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002021009,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,exenatide,60548,847917,SBD,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],direct,847917,200905,201011,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002024301,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,tirzepatide,2601723,2679325,SBD,0.5 ML tirzepatide 10 MG/ML Injection [Zepbound],direct,2679325,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002024304,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,tirzepatide,2601723,2679325,SBD,0.5 ML tirzepatide 10 MG/ML Injection [Zepbound],direct,2679325,202409,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002115201,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,tirzepatide,2601723,2644407,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro],direct,2644407,202309,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002121401,glp1_like_ndc,GLP-1 RA or GLP-1-like incretin therapy,tirzepatide,2601723,2679327,SBD,0.5 ML tirzepatide 15 MG/ML Injection [Zepbound],direct,2679327,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
