NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00002021007,glp1_ndc,GLP-1 receptor agonist,exenatide,60548,847917,SBD,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],direct,847917,200905,201011,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002021008,glp1_ndc,GLP-1 receptor agonist,exenatide,60548,847913,SBD,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],direct,847913,200905,201011,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002021009,glp1_ndc,GLP-1 receptor agonist,exenatide,60548,847917,SBD,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],direct,847917,200905,201011,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002143301,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,1551300,SBD,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],direct,1551300,201411,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002143361,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,1551300,SBD,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],direct,1551300,201411,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002143380,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,1551300,SBD,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],direct,1551300,201411,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002143401,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,1551306,SBD,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],direct,1551306,201411,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002143461,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,1551306,SBD,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],direct,1551306,201411,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002143480,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,1551306,SBD,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],direct,1551306,201411,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00002223601,glp1_ndc,GLP-1 receptor agonist,dulaglutide,1551291,2395779,SBD,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],direct,2395779,202010,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
