NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00009501201,other_diabetes_ndc,Other diabetes medication,miglitol,30009,205329,SCD,miglitol 25 MG Oral Tablet,direct,205329,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00009501298,other_diabetes_ndc,Other diabetes medication,miglitol,30009,205329,SCD,miglitol 25 MG Oral Tablet,direct,205329,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00009501301,other_diabetes_ndc,Other diabetes medication,miglitol,30009,205330,SCD,miglitol 50 MG Oral Tablet,direct,205330,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00009501401,other_diabetes_ndc,Other diabetes medication,miglitol,30009,205331,SCD,miglitol 100 MG Oral Tablet,direct,205331,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026286148,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199149;209247,SBD;SCD,acarbose 50 MG Oral Tablet;acarbose 50 MG Oral Tablet [Precose],direct,199149;209247,200706,200901;201212,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026286151,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199149;209247,SBD;SCD,acarbose 50 MG Oral Tablet;acarbose 50 MG Oral Tablet [Precose],direct,199149;209247,200706,200901;201309,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026286248,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150;209248,SBD;SCD,acarbose 100 MG Oral Tablet;acarbose 100 MG Oral Tablet [Precose],direct,199150;209248,200706,200901;201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026286251,other_diabetes_ndc,Other diabetes medication,acarbose,16681,199150;209248,SBD;SCD,acarbose 100 MG Oral Tablet;acarbose 100 MG Oral Tablet [Precose],direct,199150;209248,200706,200901;201212,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026286317,other_diabetes_ndc,Other diabetes medication,acarbose,16681,200132;213170,SBD;SCD,acarbose 25 MG Oral Tablet;acarbose 25 MG Oral Tablet [Precose],direct,200132;213170,200706;200801,200901;201212,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026286351,other_diabetes_ndc,Other diabetes medication,acarbose,16681,200132;213170,SBD;SCD,acarbose 25 MG Oral Tablet;acarbose 25 MG Oral Tablet [Precose],direct,200132;213170,200706,200901;201403,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026287148,other_diabetes_ndc,Other diabetes medication,miglitol,30009,205329,SCD,miglitol 25 MG Oral Tablet,direct,205329,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
00026287151,other_diabetes_ndc,Other diabetes medication,miglitol,30009,205329,SCD,miglitol 25 MG Oral Tablet,direct,205329,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Exploratory non-primary diabetes medication classes.
