NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00003142711,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486981,SBD,dapagliflozin 5 MG Oral Tablet [Farxiga],direct,1486981,201402,201802,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142712,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486981,SBD,dapagliflozin 5 MG Oral Tablet [Farxiga],direct,1486981,201402,201705,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142713,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486981,SBD,dapagliflozin 5 MG Oral Tablet [Farxiga],direct,1486981,201402,201705,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142714,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486981,SBD,dapagliflozin 5 MG Oral Tablet [Farxiga],direct,1486981,201402,201705,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142791,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486981,SBD,dapagliflozin 5 MG Oral Tablet [Farxiga],direct,1486981,201402,201705,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142811,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486977,SBD,dapagliflozin 10 MG Oral Tablet [Farxiga],direct,1486977,201402,201712,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142812,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486977,SBD,dapagliflozin 10 MG Oral Tablet [Farxiga],direct,1486977,201402,201709,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142813,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486977,SBD,dapagliflozin 10 MG Oral Tablet [Farxiga],direct,1486977,201402,201709,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142814,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486977,SBD,dapagliflozin 10 MG Oral Tablet [Farxiga],direct,1486977,201402,201709,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00003142891,sglt2_ndc,SGLT2 inhibitor,dapagliflozin,1488564,1486977,SBD,dapagliflozin 10 MG Oral Tablet [Farxiga],direct,1486977,201402,201709,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536303,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992816,SBD,ertugliflozin 5 MG Oral Tablet [Steglatro],direct,1992816,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536306,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992816,SBD,ertugliflozin 5 MG Oral Tablet [Steglatro],direct,1992816,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
00006536307,sglt2_ndc,SGLT2 inhibitor,ertugliflozin,1992672,1992816,SBD,ertugliflozin 5 MG Oral Tablet [Steglatro],direct,1992816,201801,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Includes fixed-dose combination products when RxNorm links them to the ingredient.
