NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00002210303,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197306,SCD,acetohexamide 250 MG Oral Tablet,direct,197306,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00002210322,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197306,SCD,acetohexamide 250 MG Oral Tablet,direct,197306,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00002210333,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197306,SCD,acetohexamide 250 MG Oral Tablet,direct,197306,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00002210350,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197306,SCD,acetohexamide 250 MG Oral Tablet,direct,197306,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00002210703,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197307,SCD,acetohexamide 500 MG Oral Tablet,direct,197307,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00002210722,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197307,SCD,acetohexamide 500 MG Oral Tablet,direct,197307,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00002210733,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197307,SCD,acetohexamide 500 MG Oral Tablet,direct,197307,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00002210750,sulfonylurea_ndc,Sulfonylurea,acetohexamide,173,197307,SCD,acetohexamide 500 MG Oral Tablet,direct,197307,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00005306723,sulfonylurea_ndc,Sulfonylurea,tolazamide,10633,198291,SCD,tolazamide 100 MG Oral Tablet,direct,198291,200706,201004,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00005306823,sulfonylurea_ndc,Sulfonylurea,tolazamide,10633,198292,SCD,tolazamide 250 MG Oral Tablet,direct,198292,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00005306834,sulfonylurea_ndc,Sulfonylurea,tolazamide,10633,198292,SCD,tolazamide 250 MG Oral Tablet,direct,198292,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
00005306923,sulfonylurea_ndc,Sulfonylurea,tolazamide,10633,198293,SCD,tolazamide 500 MG Oral Tablet,direct,198293,200706,201101,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Broad sulfonylurea class.
