NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00002015201,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679323,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound],direct,2679323,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002015204,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679323,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound],direct,2679323,202409,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002015261,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679323,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound],direct,2679323,202505,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002024301,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679325,SBD,0.5 ML tirzepatide 10 MG/ML Injection [Zepbound],direct,2679325,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002024304,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679325,SBD,0.5 ML tirzepatide 10 MG/ML Injection [Zepbound],direct,2679325,202409,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002115201,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2644407,SBD,0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro],direct,2644407,202309,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002121401,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679327,SBD,0.5 ML tirzepatide 15 MG/ML Injection [Zepbound],direct,2679327,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002121404,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679327,SBD,0.5 ML tirzepatide 15 MG/ML Injection [Zepbound],direct,2679327,202504,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002124301,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2644403,SBD,0.5 ML tirzepatide 10 MG/ML Injection [Mounjaro],direct,2644403,202309,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002134001,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679317,SBD,0.5 ML tirzepatide 20 MG/ML Injection [Zepbound],direct,2679317,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002134004,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679317,SBD,0.5 ML tirzepatide 20 MG/ML Injection [Zepbound],direct,2679317,202504,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002142301,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679319,SBD,0.5 ML tirzepatide 25 MG/ML Injection [Zepbound],direct,2679319,202405,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002142304,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2679319,SBD,0.5 ML tirzepatide 25 MG/ML Injection [Zepbound],direct,2679319,202508,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002145701,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2601758,SBD,0.5 ML tirzepatide 30 MG/ML Auto-Injector [Mounjaro],direct,2601758,202206,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
00002145780,tirzepatide_ndc,Dual GIP/GLP-1 receptor agonist,tirzepatide,2601723,2601758,SBD,0.5 ML tirzepatide 30 MG/ML Auto-Injector [Mounjaro],direct,2601758,202206,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Keep separate so inclusion can be controlled by config.
