NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00007314813,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,706895,SCD,glimepiride 2 MG / rosiglitazone 8 MG Oral Tablet,direct,706895,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007314913,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,706896,SCD,glimepiride 4 MG / rosiglitazone 8 MG Oral Tablet,direct,706896,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007315113,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,602544,SCD,glimepiride 1 MG / rosiglitazone 4 MG Oral Tablet,direct,602544,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007315213,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,602549,SCD,glimepiride 2 MG / rosiglitazone 4 MG Oral Tablet,direct,602549,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007315265,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,602549,SCD,glimepiride 2 MG / rosiglitazone 4 MG Oral Tablet,direct,602549,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007315266,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,602549,SCD,glimepiride 2 MG / rosiglitazone 4 MG Oral Tablet,direct,602549,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007315313,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,602550,SCD,glimepiride 4 MG / rosiglitazone 4 MG Oral Tablet,direct,602550,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007315364,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,602550,SCD,glimepiride 4 MG / rosiglitazone 4 MG Oral Tablet,direct,602550,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316318,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861760,SCD,metformin hydrochloride 1000 MG / rosiglitazone 2 MG Oral Tablet,indirect,403915,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316320,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861760,SCD,metformin hydrochloride 1000 MG / rosiglitazone 2 MG Oral Tablet,indirect,403915,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316361,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861760,SCD,metformin hydrochloride 1000 MG / rosiglitazone 2 MG Oral Tablet,indirect,403915,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316418,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861763,SCD,metformin hydrochloride 1000 MG / rosiglitazone 4 MG Oral Tablet,indirect,403916,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316420,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861763,SCD,metformin hydrochloride 1000 MG / rosiglitazone 4 MG Oral Tablet,indirect,403916,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316461,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861763,SCD,metformin hydrochloride 1000 MG / rosiglitazone 4 MG Oral Tablet,indirect,403916,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316618,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861795,SCD,metformin hydrochloride 500 MG / rosiglitazone 1 MG Oral Tablet,indirect,351268,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316620,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861795,SCD,metformin hydrochloride 500 MG / rosiglitazone 1 MG Oral Tablet,indirect,351268,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316718,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861806,SCD,metformin hydrochloride 500 MG / rosiglitazone 2 MG Oral Tablet,indirect,351269,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316720,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861806,SCD,metformin hydrochloride 500 MG / rosiglitazone 2 MG Oral Tablet,indirect,351269,200706,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316721,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861806,SCD,metformin hydrochloride 500 MG / rosiglitazone 2 MG Oral Tablet,indirect,351269,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
00007316761,tzd_ndc,Thiazolidinedione,rosiglitazone,84108,861806,SCD,metformin hydrochloride 500 MG / rosiglitazone 2 MG Oral Tablet,indirect,351269,200801,200901,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,TZD class.
